Glass Name,Poisson's Ratio,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
SCHOTT P-LASF51,0.299,0.000006010000000,4579,0.87,Elastic Modulus: 1.1904E+011; Shear Modulus: 4.582E+010; Specific Heat: 560
SCHOTT P-PK53,0.271,0.000013300000000,2827,0.64,Elastic Modulus: 5.937E+010; Shear Modulus: 2.3356E+010; Specific Heat: 770
SCHOTT P-SF8,0.253,0.000009410000000,2898,1.02,Elastic Modulus: 8.606E+010; Shear Modulus: 3.4342E+010; Specific Heat: 790
SCHOTT P-SF67,0.248,0.000006230000000,4236,0.79,Elastic Modulus: 9.02E+010; Shear Modulus: 3.6138E+010; Specific Heat: 530
SCHOTT P-SF68,0.275,0.000008430000000,6194,0.65,Elastic Modulus: 7.904E+010; Shear Modulus: 3.0996E+010; Specific Heat: 370
SCHOTT P-SF69,0.251,0.000008990000000,2934,1.12,Elastic Modulus: 9.588E+010; Shear Modulus: 3.8321E+010; Specific Heat: 820
SCHOTT P-SK57,0.249,0.000007230000000,3012,1.01,Elastic Modulus: 9.266E+010; Shear Modulus: 3.7094E+010; Specific Heat: 760
SCHOTT P-SK57Q1,0.249,0.000007230000000,3012,1.01,Elastic Modulus: 9.266E+010; Shear Modulus: 3.7094E+010; Specific Heat: 760
SCHOTT P-SK58A,0.245,0.000006820000000,2971,1.02,Elastic Modulus: 9.685E+010; Shear Modulus: 3.8896E+010; Specific Heat: 770
SCHOTT P-SK60,0.253,0.000007060000000,3075,1.13,Elastic Modulus: 9.879E+010; Shear Modulus: 3.9421E+010; Specific Heat: 760
SCHOTT SF1,0.232,0.000008100000000,4460,,Elastic Modulus: 5.6E+010; Shear Modulus: 2.2727E+010
SCHOTT SF2,0.227,0.000008400000000,3860,0.735,Elastic Modulus: 5.5E+010; Shear Modulus: 2.2412E+010; Specific Heat: 498
SCHOTT SF4,0.241,0.000008000000000,4790,0.65,Elastic Modulus: 5.6E+010; Shear Modulus: 2.2562E+010; Specific Heat: 410
SCHOTT SF5,0.233,0.000008200000000,4070,,Elastic Modulus: 5.6E+010; Shear Modulus: 2.2709E+010
SCHOTT SF6,0.244,0.000008100000000,5180,0.673,Elastic Modulus: 5.5E+010; Shear Modulus: 2.2106E+010; Specific Heat: 389
SCHOTT SF6G05,0.244,7.8e-006,5200,,
SCHOTT SF6HT,0.244,0.000008100000000,5180,0.673,Elastic Modulus: 5.5E+010; Shear Modulus: 2.2106E+010; Specific Heat: 389
SCHOTT SF10,0.232,0.000007500000000,4280,0.741,Elastic Modulus: 6.4E+010; Shear Modulus: 2.5974E+010; Specific Heat: 465
SCHOTT SF11,0.235,0.000006100000000,4740,0.737,Elastic Modulus: 6.6E+010; Shear Modulus: 2.6721E+010; Specific Heat: 431
SCHOTT SF56A,0.239,0.000007900000000,4920,0.69,Elastic Modulus: 5.7E+010; Shear Modulus: 2.3002E+010; Specific Heat: 400
SCHOTT SF57,0.248,0.000008300000000,5510,0.62,Elastic Modulus: 5.4E+010; Shear Modulus: 2.1635E+010; Specific Heat: 360
SCHOTT SF57HT,0.248,0.000008300000000,5510,0.62,Elastic Modulus: 5.4E+010; Shear Modulus: 2.1635E+010; Specific Heat: 360
SCHOTT SF57HTultra,0.248,0.000008300000000,5510,0.62,Elastic Modulus: 5.4E+010; Shear Modulus: 2.1635E+010; Specific Heat: 360
SCHOTT SFL6,0.26,0.000009000000000,3370,,Elastic Modulus: 9.3E+010; Shear Modulus: 3.6905E+010
SCHOTT SFL57,0.261,0.000008700000000,3550,0.997,Elastic Modulus: 9.7E+010; Shear Modulus: 3.8462E+010; Specific Heat: 670
